Fracionamento	Réplica	Tempo(s)	Memória(MB)	Disco(MB)	CPU(%)	Rede(MB)
5%	1	30.09	1963.11	5676.86	8.07	88.52
5%	2	29.08	1994.24	5680.06	8.29	88.52
5%	3	29.08	1988.7	5680.13	8.32	88.52
5%	4	29.08	1945.71	5680.19	8.23	88.52
5%	5	29.11	1992.17	5680.22	8.33	88.52
15%	1	85.34	2119.53	5681.67	8.76	88.52
15%	2	85.27	2136.79	5682.37	7.69	88.52
15%	3	79.24	2149.48	5682.41	7.72	88.52
15%	4	79.23	2160.73	5682.45	7.74	88.52
15%	5	92.35	2202.56	5682.51	7.42	88.52
25%	1	162.97	2271.02	5682.56	7.69	88.52
25%	2	165.59	2236.66	5684.64	7.57	88.52
25%	3	133.36	2285.75	5684.67	7.64	88.52
25%	4	133.36	2280.43	5684.72	7.66	88.52
25%	5	132.45	2272.01	5684.78	7.7	88.52
50%	1	379.15	2319.66	5684.83	9.45	88.52
50%	2	389.69	2310.81	5713.78	9.85	88.52
50%	3	432.12	2293.7	5762.85	7.68	88.52
50%	4	363.05	2317.81	5766.15	7.44	88.52
50%	5	324.45	2337.38	5766.67	7.2	88.52
75%	1	546.07	2339.07	5767.94	12.92	88.52
75%	2	534.85	2368.8	5778.46	13.11	88.52
75%	3	603.12	2363.62	5801.52	13.95	88.52
75%	4	656.95	2354.19	5831.94	13.74	88.52
75%	5	643.8	2338.49	5897.63	12.28	88.52
100%	1	738.72	2361.22	6012.14	13.85	88.52
100%	2	821.14	2363.4	6021.15	13.52	88.52
100%	3	804.78	2332.38	6033.86	14.06	88.52
100%	4	822.37	2343.27	6054.52	14.32	88.52
100%	5	826.97	2345.83	6077.37	14.45	88.52